Timestamp,Error_Type,Line_Number,Raw_Message,Source_Code_Snippet
2026-02-15 01:15:13,cannot initialize a variable of type 'int' with an lvalue of type 'const char[6]',4,"temp_code.cpp:4:9: error: cannot initialize a variable of type 'int' with an lvalue of type 'const char[6]'
    4 |     int x = ""hello""; // Trying to put a string in an int
      |         ^   ~~~~~~~
1 error generated.
","int x = ""hello""; // Trying to put a string in an int"
2026-02-15 01:20:00,"Undefined symbols for architecture arm64:
  ""missingFunction()"", referenced from:
      _main in temp_code-dfb200.o
ld: symbol(s) not found for architecture arm64
clang++: error: linker command failed with exit code 1 (use -v to see invocation)
",Unknown,"Undefined symbols for architecture arm64:
  ""missingFunction()"", referenced from:
      _main in temp_code-dfb200.o
ld: symbol(s) not found for architecture arm64
clang++: error: linker command failed with exit code 1 (use -v to see invocation)
",N/A
2026-02-19 21:33:46,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-19 21:33:56,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-19 21:34:59,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-19 22:01:45,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-19 22:04:21,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-19 22:04:21,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-19 22:18:03,expected ';' after expression,5,"temp_code.cpp:5:12: error: expected ';' after expression
    5 | cout<<Hello World
      |            ^
      |            ;
temp_code.cpp:5:7: error: use of undeclared identifier 'Hello'; did you mean 'ftello'?
    5 | cout<<Hello World
      |       ^~~~~
      |       ftello
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/_stdio.h:433:8: note: 'ftello' declared here
  433 | off_t    ftello(FILE * __stream);
      |          ^
temp_code.cpp:5:7: warning: address of function 'ftello' will always evaluate to 'true' [-Wpointer-bool-conversion]
    5 | cout<<Hello World
      |     ~~^~~~~
temp_code.cpp:5:7: note: prefix with the address-of operator to silence this warning
    5 | cout<<Hello World
      |       ^
      |       &
temp_code.cpp:5:13: error: use of undeclared identifier 'World'
    5 | cout<<Hello World
      |             ^
1 warning and 3 errors generated.
",cout<<Hello World
2026-02-19 22:22:15,no matching function for call to 'system',5,"temp_code.cpp:5:1: error: no matching function for call to 'system'
    5 | system ();
      | ^~~~~~
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/_stdlib.h:208:6: note: candidate function not viable: requires 1 argument, but 0 were provided
  208 | int      system(const char *) __DARWIN_ALIAS_C(system);
      |          ^      ~~~~~~~~~~~~
1 error generated.
",system ();
2026-02-19 22:22:43,no matching function for call to 'system',5,"temp_code.cpp:5:1: error: no matching function for call to 'system'
    5 | system ();
      | ^~~~~~
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/_stdlib.h:208:6: note: candidate function not viable: requires 1 argument, but 0 were provided
  208 | int      system(const char *) __DARWIN_ALIAS_C(system);
      |          ^      ~~~~~~~~~~~~
1 error generated.
",system ();
2026-02-19 22:22:44,use of undeclared identifier 'systems',5,"temp_code.cpp:5:1: error: use of undeclared identifier 'systems'
    5 | systems ();
      | ^
1 error generated.
",systems ();
2026-02-19 22:23:12,use of undeclared identifier 'systems',5,"temp_code.cpp:5:1: error: use of undeclared identifier 'systems'
    5 | systems ();
      | ^
1 error generated.
",systems ();
2026-02-19 22:35:08,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-22 08:15:26,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-22 08:16:37,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-22 08:16:37,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-22 14:00:02,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-22 14:00:40,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-22 14:01:11,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-02-22 14:01:17,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-22 14:02:30,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-22 14:02:31,cannot initialize a variable of type 'int' with an lvalue of type 'const char[12]',8,"temp_code.cpp:8:13: error: cannot initialize a variable of type 'int' with an lvalue of type 'const char[12]'
    8 |         int str=""Hello World"";
      |             ^   ~~~~~~~~~~~~~
1 error generated.
","int str=""Hello World"";"
2026-02-27 15:43:32,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-02-27 15:43:58,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-01 19:51:06,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-01 19:53:22,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-01 19:58:06,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-01 19:59:25,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-01 19:59:26,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-03-01 20:03:15,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-03-01 20:04:26,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-03-01 20:08:52,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-03-01 20:09:27,expected ';' after expression,6,"temp_code.cpp:6:41: error: expected ';' after expression
    6 |         cout << ""Hello, Server!"" << endl
      |                                         ^
      |                                         ;
1 error generated.
","cout << ""Hello, Server!"" << endl"
2026-03-01 20:09:33,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-01 20:40:21,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-01 20:40:22,"missing terminating '""' character [-Winvalid-pp-token]",6,"temp_code.cpp:6:17: warning: missing terminating '""' character [-Winvalid-pp-token]
    6 |         cout << ""Hello, Server!<<endl;
      |                 ^
temp_code.cpp:6:17: error: expected expression
1 warning and 1 error generated.
","cout << ""Hello, Server!<<endl;"
2026-03-01 22:23:09,"missing terminating '""' character [-Winvalid-pp-token]",6,"temp_code.cpp:6:17: warning: missing terminating '""' character [-Winvalid-pp-token]
    6 |         cout << ""Hello, Server!<<endl;
      |                 ^
temp_code.cpp:6:17: error: expected expression
1 warning and 1 error generated.
","cout << ""Hello, Server!<<endl;"
2026-03-05 18:22:54,"missing terminating '""' character [-Winvalid-pp-token]",6,"temp_code.cpp:6:17: warning: missing terminating '""' character [-Winvalid-pp-token]
    6 |         cout << ""Hello, Server!<<endl
      |                 ^
temp_code.cpp:6:17: error: expected expression
1 warning and 1 error generated.
","cout << ""Hello, Server!<<endl"
2026-03-05 18:41:40,assigning to 'int' from incompatible type 'const char[12]',6,"temp_code.cpp:6:13: error: assigning to 'int' from incompatible type 'const char[12]'
    6 |         num=""Hello World"";
      |             ^~~~~~~~~~~~~
1 error generated.
","num=""Hello World"";"
2026-03-07 00:21:30,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-07 00:21:42,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-07 00:21:42,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-07 00:21:47,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-07 00:31:45,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-07 00:32:08,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-07 00:33:34,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",Unknown,"❌ ERROR: Time Limit Exceeded! Your code might have an infinite loop (e.g., while(true)).",N/A
2026-03-07 00:33:35,expected ';' after expression,5,"temp_code.cpp:5:11: error: expected ';' after expression
    5 |        get
      |           ^
      |           ;
temp_code.cpp:5:8: error: reference to overloaded function could not be resolved; did you mean to call it?
    5 |        get
      |        ^~~
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/tuple:1072:1: note: possible target for call
 1072 | get(tuple<_Tp...>& __t) _NOEXCEPT {
      | ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/tuple:1079:1: note: possible target for call
 1079 | get(const tuple<_Tp...>& __t) _NOEXCEPT {
      | ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/tuple:1086:1: note: possible target for call
 1086 | get(tuple<_Tp...>&& __t) _NOEXCEPT {
      | ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/tuple:1093:1: note: possible target for call
 1093 | get(const tuple<_Tp...>&& __t) _NOEXCEPT {
      | ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/array:504:65: note: possible target for call
  504 | inline _LIBCPP_HIDE_FROM_ABI _LIBCPP_CONSTEXPR_SINCE_CXX14 _Tp& get(array<_Tp, _Size>& __a) _NOEXCEPT {
      |                                                                 ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/array:510:71: note: possible target for call
  510 | inline _LIBCPP_HIDE_FROM_ABI _LIBCPP_CONSTEXPR_SINCE_CXX14 const _Tp& get(const array<_Tp, _Size>& __a) _NOEXCEPT {
      |                                                                       ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/array:516:66: note: possible target for call
  516 | inline _LIBCPP_HIDE_FROM_ABI _LIBCPP_CONSTEXPR_SINCE_CXX14 _Tp&& get(array<_Tp, _Size>&& __a) _NOEXCEPT {
      |                                                                  ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/array:522:72: note: possible target for call
  522 | inline _LIBCPP_HIDE_FROM_ABI _LIBCPP_CONSTEXPR_SINCE_CXX14 const _Tp&& get(const array<_Tp, _Size>&& __a) _NOEXCEPT {
      |                                                                        ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:609:1: note: possible target for call
  609 | get(pair<_T1, _T2>& __p) _NOEXCEPT {
      | ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:615:1: note: possible target for call
  615 | get(const pair<_T1, _T2>& __p) _NOEXCEPT {
      | ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:621:1: note: possible target for call
  621 | get(pair<_T1, _T2>&& __p) _NOEXCEPT {
      | ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:627:1: note: possible target for call
  627 | get(const pair<_T1, _T2>&& __p) _NOEXCEPT {
      | ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/tuple:1101:45: note: possible target for call
 1101 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1& get(tuple<_Args...>& __tup) noexcept {
      |                                             ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/tuple:1106:51: note: possible target for call
 1106 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1 const& get(tuple<_Args...> const& __tup) noexcept {
      |                                                   ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/tuple:1111:46: note: possible target for call
 1111 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1&& get(tuple<_Args...>&& __tup) noexcept {
      |                                              ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/tuple:1116:52: note: possible target for call
 1116 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1 const&& get(tuple<_Args...> const&& __tup) noexcept {
      |                                                    ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:633:45: note: possible target for call
  633 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1& get(pair<_T1, _T2>& __p) _NOEXCEPT {
      |                                             ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:638:51: note: possible target for call
  638 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1 const& get(pair<_T1, _T2> const& __p) _NOEXCEPT {
      |                                                   ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:643:46: note: possible target for call
  643 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1&& get(pair<_T1, _T2>&& __p) _NOEXCEPT {
      |                                              ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:648:52: note: possible target for call
  648 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1 const&& get(pair<_T1, _T2> const&& __p) _NOEXCEPT {
      |                                                    ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:653:45: note: possible target for call
  653 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1& get(pair<_T2, _T1>& __p) _NOEXCEPT {
      |                                             ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:658:51: note: possible target for call
  658 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1 const& get(pair<_T2, _T1> const& __p) _NOEXCEPT {
      |                                                   ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:663:46: note: possible target for call
  663 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1&& get(pair<_T2, _T1>&& __p) _NOEXCEPT {
      |                                              ^
/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX.sdk/usr/include/c++/v1/__utility/pair.h:668:52: note: possible target for call
  668 | inline _LIBCPP_HIDE_FROM_ABI constexpr _T1 const&& get(pair<_T2, _T1> const&& __p) _NOEXCEPT {
      |                                                    ^
2 errors generated.
",get
